"","Layer_Temperature"
"1",-5
"2",-4.7759963312785
"3",-4.7759963312785
"4",-4.7759963312785
"5",-3.93818733409177
"6",18.4621795380586
"7",18.4621795380586
"8",19.2999885352453
"9",20
