"","name","Thicknes","Conductivity","Diffusion","H","Sd"
"1","Mineralischer_Edelputz",0.02,1,17,0.02,0.34
"2","Porensinterbeton_mit_Quarzsand_900",0.24,0.43,8,0.558139534883721,1.92
"3","EPS_040_30",0.04,0.04,50,1,2
"4","Holzwolle_Leichtbauplatten_Heraklith_Platten__Magnesia__390",0.025,0.08,2.1,0.3125,0.0525
"5","Mineralischer_Armierungsputz",0.015,0.7,17,0.0214285714285714,0.255
