"","name","Thicknes","Conductivity","Diffusion","H","Sd"
"1","Außenputz",0.02,1,40,0.02,0.8
"2","Mauerwerk",0.24,0.4,8,0.6,1.92
"3","EPS-Dämmstoff",0.04,0.04,20,1,0.8
"4","HWL-Platte",0.025,0.08,4,0.3125,0.1
"5","Innenputz",0.015,0.7,15,0.0214285714285714,0.225
